Latitude,Longitude
-21.054232,14.515662
-21.082953,14.516650
-21.084647,14.509893
-21.080818,14.517458
-21.090201,14.502146
-21.094376,14.504860
-21.075606,14.507059
-21.084365,14.529584
-21.086406,14.524291
-21.086444,14.527897
-21.082571,14.528174
-21.087032,14.521550
-21.086430,14.523239
-21.085817,14.525398
-21.070662,14.524252
-21.072241,14.519186
-21.067457,14.520306
-21.073979,14.520166
-21.054340,14.510119
-21.073216,14.525473
-21.077081,14.520586
-21.073958,14.525504
-21.074247,14.520046
-21.074846,14.535824
-21.076463,14.521130
-21.079325,14.537897
-21.085024,14.526487
-21.083216,14.532957
-21.084272,14.533232
-21.083278,14.533130
-21.079496,14.528858
-21.077238,14.541123
-21.071833,14.528391
-21.077883,14.532203
-21.039166,14.511717
-21.035936,14.514403
-21.035107,14.512317
-21.041107,14.518096
-21.085036,14.529806
-21.061420,14.502426
-21.073163,14.495582
-21.147596,14.561883
-21.151457,14.574665
-21.146457,14.549071
-21.146252,14.557074
-21.162511,14.481662
-21.174146,14.510269
-21.170713,14.507272
-21.170546,14.511895
-21.163974,14.512538
-21.151537,14.495070
-21.159610,14.493171
-21.151877,14.493623
-21.155456,14.495545
-21.157799,14.494898
-21.155279,14.498493
-21.153943,14.496153
-21.161961,14.506225
-21.165191,14.503572
-21.162098,14.501717
-21.173947,14.512936
-21.162816,14.511772
-21.165053,14.517441
-21.165607,14.510360
-21.163878,14.510739
-21.166540,14.516982
-21.160994,14.512953
-21.163025,14.512637
-21.162393,14.510521
-21.162297,14.513647
-21.154284,14.507475
-21.154334,14.513770
-21.152534,14.508882
-21.157573,14.518378
-21.159741,14.510146
-21.159106,14.509105
-21.152789,14.509879
-21.157194,14.525919
-21.151629,14.510209
-21.161534,14.520395
-21.160604,14.510134
-21.163637,14.509468
-21.148840,14.527496
-21.155832,14.512504
-21.150526,14.509904
-21.147313,14.517392
-21.154724,14.516129
-21.159317,14.513683
-21.151750,14.510782
-21.155849,14.518036
-21.150090,14.525612
-21.151580,14.521827
-21.152686,14.522236
-21.157945,14.524448
-21.155099,14.522638
-21.155594,14.520562
-21.156424,14.522646
-21.155553,14.524830
-21.152991,14.520004
-21.154721,14.520332
-21.159671,14.520893
-21.154422,14.522121
-21.144688,14.524152
-21.145354,14.521684
-21.146364,14.527716
-21.148476,14.524224
-21.150767,14.532064
-21.145365,14.528242
-21.148782,14.529920
-21.135779,14.533171
-21.137103,14.531675
-21.134150,14.534541
-21.135437,14.532403
-21.140779,14.536442
-21.134403,14.528564
-21.130333,14.534590
-21.129960,14.536233
-21.127282,14.534926
-21.128061,14.531594
-21.133591,14.546142
-21.127721,14.546538
-21.139654,14.546338
-21.134657,14.542025
-21.137363,14.544408
-21.136331,14.546888
-21.134335,14.538732
-21.140269,14.541198
-21.132858,14.545782
-21.127997,14.544656
-21.131882,14.538682
-21.126994,14.540835
-21.133148,14.545926
-21.130134,14.538978
-21.126210,14.541360
-21.126612,14.547621
-21.128967,14.548363
-21.129922,14.553194
-21.129945,14.552652
-21.133350,14.555538
-21.129811,14.557795
-21.131784,14.548996
-21.131601,14.562354
-21.128923,14.558034
-21.133455,14.562654
-21.131331,14.565869
-21.124948,14.563329
-21.125898,14.565012
-21.125810,14.564003
-21.125509,14.557471
-21.124706,14.559439
-21.131618,14.562394
-21.132453,14.563160
-21.126730,14.561979
-21.120402,14.563178
-21.122885,14.552802
-21.118743,14.539724
-21.119948,14.546708
-21.116919,14.540778
-21.132260,14.534953
-21.125304,14.532751
-21.137751,14.536249
-21.140753,14.526883
-21.138505,14.515199
-21.140866,14.520595
-21.125974,14.526757
-21.134735,14.514141
-21.135417,14.513159
-21.138043,14.513638
-21.138917,14.516175
-21.137969,14.510373
-21.145269,14.514143
-21.150612,14.511000
-21.142932,14.511244
-21.134632,14.517104
-21.140651,14.509933
-21.148089,14.516875
-21.148112,14.514944
-21.146540,14.512058
-21.148590,14.515101
-21.147424,14.517494
-21.148680,14.511630
-21.139178,14.514212
-21.134666,14.507571
-21.138077,14.502632
-21.149851,14.502575
-21.149250,14.489191
-21.153947,14.503787
-21.153604,14.513371
-21.150285,14.502525
-21.145150,14.501450
-21.149165,14.500989
-21.149012,14.506540
-21.148323,14.503691
-21.143789,14.506218
-21.151065,14.507526
-21.141465,14.502837
-21.128881,14.499360
-21.129897,14.505500
-21.131831,14.505174
-21.126419,14.500027
-21.125038,14.500211
-21.127472,14.490247
-21.131147,14.492974
-21.129112,14.498421
-21.124638,14.504442
-21.129334,14.490984
-21.130429,14.497222
-21.132093,14.498748
-21.129249,14.489635
-21.131800,14.496692
-21.124858,14.491499
-21.127938,14.494259
-21.132826,14.494533
-21.126524,14.498242
-21.131997,14.489310
-21.132515,14.480116
-21.129522,14.484322
-21.133744,14.498426
-21.139979,14.482035
-21.129289,14.487381
-21.139743,14.485088
-21.115997,14.452645
-21.130842,14.448973
-21.145579,14.488247
-21.145336,14.485369
-21.149729,14.488081
-21.148427,14.470340
-21.191349,14.595098
-21.192370,14.594151
-21.195283,14.594319
-21.191418,14.603776
-21.194404,14.601177
-21.190098,14.603003
-21.195561,14.599318
-21.192187,14.596101
-21.195646,14.593445
-21.181510,14.604849
-21.183606,14.598012
-21.181511,14.612304
-21.184408,14.609464
-21.181331,14.606522
-21.183993,14.605328
-21.181047,14.613871
-21.186972,14.614106
-21.187487,14.613996
-21.183596,14.610137
-21.182494,14.622104
-21.196391,14.596217
-21.192597,14.601159
-21.189146,14.600935
-21.189990,14.604616
-21.190053,14.603080
-21.205633,14.601845
-21.193184,14.599148
-21.194466,14.600993
-21.190974,14.613783
-21.190774,14.607257
-21.073291,14.482001
-21.077749,14.483256
-21.063418,14.488895
-21.067404,14.483115
-21.074655,14.495360
-21.078288,14.492252
-21.206900,14.587483
-21.201930,14.595167
-21.205026,14.592215
-21.066272,14.477004
-21.072187,14.477265
-21.075852,14.476372
-21.075039,14.479769
-21.080233,14.539795
-21.084440,14.555381
-21.079616,14.554281
-21.081764,14.559256
-21.081798,14.562779
-21.082486,14.561354
-21.081165,14.566047
-21.082008,14.563289
-21.080591,14.559025
-21.082403,14.558330
-21.081035,14.564794
-21.086985,14.565869
-21.087760,14.563605
-21.084454,14.563651
-21.085754,14.564969
-21.079660,14.564306
-21.078820,14.559817
-21.073252,14.559193
-21.075731,14.557806
-21.057058,14.565289
-21.070421,14.571115
-21.013125,14.554326
-21.076830,14.568924
-21.073356,14.574085
-21.074860,14.569663
-21.073888,14.569094
-21.075710,14.576326
-21.077266,14.571982
-21.038607,14.566514
-21.039709,14.560263
-21.042148,14.560401
-21.046481,14.561748
-21.036959,14.561682
-21.067577,14.553061
-21.065912,14.549578
-21.066523,14.550049
-21.066884,14.553865
-21.077713,14.553765
-21.085497,14.569648
-21.082279,14.567846
-21.085183,14.572164
-21.084203,14.570730
-21.071277,14.570165
-21.075429,14.569998
-21.082254,14.573081
-21.070637,14.576316
-21.087159,14.574990
-21.079584,14.574845
-21.081010,14.575379
-21.079441,14.558211
-21.089857,14.559390
-21.094760,14.566461
-21.095686,14.564684
-21.092694,14.563800
-21.088737,14.563197
-21.093039,14.550535
-21.094892,14.550360
-21.093537,14.553593
-21.094420,14.556340
-21.094959,14.555824
-21.103057,14.551093
-21.106325,14.559700
-21.100443,14.562041
-21.101485,14.568702
-21.098590,14.571843
-21.080505,14.575299
-21.076693,14.572468 
